0	Can you list some core curriculum courses in the MSAII program?
1	How does the MSAII program prepare its graduates?
2	How did the merger between Carnegie Tech and the Mellon Institute contribute to the establishment of Carnegie Mellon University's current structure?
3	What does the Strategic Plan 2025 aim to advance at CMU?
4	What has changed about the vehicles used in the Buggy Races since its inception?
5	What types of professionals can be found among Carnegie Mellon's alumni?
6	How many undergraduate students were enrolled at Carnegie Mellon University (CMU)?
7	For what purpose did Andrew Carnegie donate $1 million in 1900?
8	How many research partnerships does Carnegie Mellon have?
9	How many faculty members have an interest in Spoken Interfaces and Dialogue Processing?
10	Where is Carnegie Mellon University (CMU) located?
11	Describe the research interests of Bhiksha Ramakrishnan.
12	How many elective courses must students choose for the Language Technologies Concentration?
13	What are the prerequisites for applying to the language technologies minor at LTI?
14	What pioneering educational programs did Carnegie Tech offer?
15	How many degree-granting locations does Carnegie Mellon have?
16	Where are new buggy names revealed to the public?
17	In what year did Alan Perlis begin teaching the first freshman-level computer programming course in the United States?
18	What is the focus of the Master of Computational Data Science (MCDS) degree at LTI?
19	When did Andrew Carnegie found Carnegie Technical Schools?
20	What transformation did Carnegie Technical Schools undergo in its early years?
21	What is the core course required for the Language Technologies Concentration at LTI?
22	Where are rehearsals?
23	When did Carnegie Tech get its first IBM computer?
24	Who is the President of Carnegie Mellon University?
25	What is a "Pushbar"?
26	In what year did Andrew Carnegie die, and what is said about his vision?
27	What was CMU's global ranking according to Times Higher Education World University Ranking in 2023?
28	Can you describe the structure and focus of the MLT program at LTI?
29	What is the capacity of Gesling Stadium?
30	What is Andrew Carnegie known for?
31	Who is the president of Carnegie Mellon University?
32	Describe the curriculum requirements for an MCDS student.
33	Can you describe the contributions of CMU to the field of computer chess?
34	What was the original name of the College of Humanities and Social Sciences at Carnegie Mellon?
35	Who were the interdisciplinary leaders of the School of Computer Science?
36	Can you name a few places where Carnegie Mellon has research partnerships?
37	What was Andrew Carnegie's nationality before he emigrated to the United States?
38	What are the application requirements for the Dual-Degree Ph.D. program at LTI?
39	How many companies has the CMU community launched to date?
40	Describe the "three-M" machine initiative led by Raj Reddy.
41	What was the impact of women joining male peers in classrooms and dorms in 1973?
42	How does the MSAII program relate to its predecessor?
43	How many course units must MLT students complete, and what is the distribution among different types of courses?
44	What was the first graduate degree offered by Carnegie Tech, and to whom?
45	How many units of study must a student complete to earn the MSAII degree?
46	What is the deadline to apply for a minor in language technologies at LTI?
47	How did Carnegie Tech's early curriculum adapt to societal needs?
48	How did Carnegie Tech expand during the first half of the 20th century?
49	How many living alumni does CMU have?
50	List the faculty members who have provided their phone numbers.
51	What interdisciplinary Ph.D. program did Carnegie Tech create in 1961?
52	What is the partnership country for the Dual-Degree Ph.D. in Language and Information Technologies offered by LTI?
53	When are rehearsals?
54	What motto is associated with the Carnegie Technical Schools, reflecting Andrew Carnegie's values?
55	What is the phone number for the Athletic Department at Carnegie Mellon University?
56	How many people does it take to navigate the current Buggy Race course?
57	When did Carnegie Mellon begin offering degree programs outside of Pittsburgh?
58	How many spring concerts does The Kiltie Band perform, and at what special event do they perform?
59	How many students formed The Kiltie Band initially?
60	What happens when vertical and horizontal stripes of the same color cross in a tartan pattern?
61	How does the year-by-year study plan look for students in the Dual-Degree Ph.D. program?
62	Who has an office at the Qatar Campus?
63	Who won the vote for the mascot of Carnegie Mellon University?
64	When did The Kiltie Band have its first official performance?
65	What is required for admission to the MIIS program at LTI?
66	What does the H. John Heinz III College specialize in?
67	What was the role of focus groups in the mascot selection process?
68	Who was Andrew Carnegie?
69	What breed is Carnegie Mellon University's mascot?
70	How many Turing Awards has the CMU community received?
71	What is the economic impact of CMU on Pittsburgh, specifically in terms of attracting major companies?
72	When did the official mascot of Carnegie Mellon debut?
73	How does the arrangement of colored threads in a tartan compare in the warp and the weft?
74	When was the School of Computer Science founded, and what fields did it pioneer?
75	What does the Scottish terrier mascot performer wear?
76	How did the undergraduate computer science program at CMU begin?
77	Can I borrow a school instrument?
78	Where does Carnegie Mellon have campuses?
79	What role does a "Pusher" play in the Buggy Races?
80	Identify faculty members involved in Speech Processing.
81	What was Andrew Carnegie's belief about wealth?
82	How did the Andrew project aim to revolutionize computer access?
83	What are the differences between the MIIS-16 and MIIS-21 degree options at LTI?
84	What is the phone number for the faculty member specializing in Spoken Language Translation?
85	What is required from students for the capstone project in the MSAII program?
86	How does the condition of the race course impact the races?
87	Who provided support for Carnegie Tech before its merger with the Mellon Institute?
88	What is the significance of the year 1900 in the context of CMU's campus development?
89	When does the Kiltie Concert Band play its holiday concert?
90	Can you describe the Scottish Terrier's expression and how it relates to its role as a mascot?
91	What is the term "Buggy" used to describe in Sweepstakes slang?
92	How do teams name their buggies, and can you give examples?
93	Who founded the Carnegie Technical Schools?
94	When was the Computer Science Department at Carnegie Tech established?
95	When are new buggy names revealed to the public?
96	What defines a tartan pattern in fabric?
97	What percentage of students voted for the Scottish terrier as the mascot in the 2007 survey?
98	How long has the tradition of Sweepstakes, or Buggy Races, been running at Carnegie Mellon University?
99	How does the Scottish Terrier's agility contribute to its symbolic representation for Carnegie Mellon University?
100	What does "Chute" signify in the context of the Buggy Races?
101	How does the curriculum of the MIIS degree program at LTI vary between the MIIS-16 and MIIS-21 options?
102	What was the purpose of the Andrew Project at CMU?
103	When did Carnegie Tech merge with the Mellon Institute to become Carnegie Mellon University?
104	Who founded Carnegie Technical Schools?
105	What type of surface does the CMU Soccer Field have?
106	Which faculty member has an office located at 205 407 South Craig Street?
107	How many faculty members are listed with an interest in Information Retrieval?
108	What is the mailing address for Carnegie Mellon University?
109	What qualities make the Scottish Terrier a natural choice for a university mascot, specifically Carnegie Mellon?
110	What was the significance of the merger between Carnegie Tech and the Mellon Institute for Carnegie Mellon University?
111	What is your opinion on the lasting impact of emoticons, introduced by CMU in 1982?
112	What is the motto of Andrew Carnegie, the founder of Carnegie Mellon University?
113	What department administers The Kiltie Band?
114	Before becoming the official mascot in 2007, how long had students dressed as a Scottish terrier?
115	What is the nickname for Carnegie Mellon University (CMU)?
116	Does the name "Scotty" refer only to the costumed mascot at Carnegie Mellon University?
117	Which company did Carnegie Mellon partner with to develop the graphics for the mascot?
118	Who specializes in Machine Translation at the Language Technologies Institute?
119	What was the first in the field of email innovations credited to a CMU professor?
120	Compare the early application fee to the regular application fee for the Ph.D. program at LTI.
121	How does the MLT program integrate research into its curriculum?
122	According to the document, what was a significant milestone in language translation technology achieved by CMU?
123	Who was Andrew Carnegie's heritage?
124	Which CMU faculty member received the Nobel Prize in Economics and for what?
125	What is the final application deadline for fall admission to the Ph.D. program at LTI for the year 2024?
126	In what way does the Scottish Terrier's determined temperament mirror the characteristics of Carnegie Mellon University?
127	What physical aspects of the Scottish Terrier exemplify its representation as a mascot?
128	How did the Carnegie Mellon community participate in the mascot selection process?
129	How many Academy Awards has the CMU community won?
130	Is a thesis required for the MLT program?
131	What was the first new school opened by Carnegie Tech in the post-war years, and what was it later renamed?
132	How has the merger between Carnegie Tech and the Mellon Institute impacted the world of higher education, according to the document?
133	When was the first doctorate awarded at Carnegie Tech, and in which field?
134	What are the school colors for Carnegie Mellon University (CMU)?
135	In what capacity does The Kiltie Band support the basketball teams?
136	Who was appointed as CMU's first Dean of Computer Science?
137	Are there auditions?
138	What are the options for elective courses in the Language Technologies Concentration?
139	Define "Driver" in Sweepstakes terms.
140	What did the Carnegie Institute of Technology merge with to become Carnegie Mellon University?
141	When was Carnegie Technical Schools founded?
142	How did CMU's approach to computer science education and research evolve from the 1950s to the 2010s?
143	Can you describe the MIIS degree program at LTI?
144	What is the name of the football stadium and/or track and field at Carnegie Mellon University (CMU)?
145	What is the capacity of the CMU Soccer Field?
146	Compare the number of faculty interested in Machine Learning to those in Natural Language Processing.
147	Besides football games, at what other events does The Kiltie Band perform?
148	What is required for a driver to qualify to race in the Buggy Races?
149	How does the Scottish Terrier's temperament reflect on Carnegie Mellon University's ethos?
150	Do I have to memorize music?
151	Was there a specific college for women at the Carnegie Technical Schools? If so, what was its name?
152	Is there an audition requirement for joining The Kiltie Band?
153	Compare the Standard Timing and Extended Timing options of the MCDS program.
154	What are some of the temperament traits of the Scottish Terrier breed?
155	What major change happened at Carnegie Tech in 1973?
156	What is the cost of applying to the Dual-Degree Ph.D. program in Language and Information Technologies?
157	Where are performances? 
158	What are the basic components of a buggy?
159	What NCAA division is Carnegie Mellon University (CMU) affiliated with?
160	List the offices for all faculty members whose research includes Information Extraction.
161	Where did Andrew Carnegie settle when he emigrated from Scotland?
162	Which campus entity recognizes The Kiltie Band?
163	What is the application deadline and fee for the MLT program for Fall 2024 admission?
164	Compare the importance of the Mach kernel with the development of Java at CMU.
165	What types of careers have alumni of the MIIS program pursued?
166	What are the graduation requirements for the MLT program?
167	List the areas where CMU has made pioneering contributions in computer science.
168	What was the first college devoted solely to computer science in the United States?
169	What is Carnegie Mellon known for?
170	When did the merger that formed Carnegie Mellon University occur?
171	What is the name of the basketball and/or volleyball gym at Carnegie Mellon University (CMU)?
172	Who established Carnegie Tech's first Computation Center?
173	Who is the contact for RoboNLP at the Language Technologies Institute?
174	What was the 'Carnegie Plan' initiated in 1938?
175	What is the mascot for Carnegie Mellon University (CMU)?
176	What was the original name of the Carnegie Institute of Technology?
177	What was the primary focus of the newly founded schools at Carnegie Tech in the post-war years?
178	Who were the creators of the Logic Theorist?
179	What led to the creation of the School of Computer Science at CMU?
180	What types of programs did the Carnegie Technical Schools offer?
181	What research areas does Justine Cassell focus on?
182	How was the name for Carnegie Mellon University's mascot chosen?
183	What kind of music does The Kiltie Band perform?
184	How does the School of Computer Science at CMU maintain its founders' vision in the 21st century?
185	How many countries do CMU faculty come from?
186	What is a Tartan?
187	How did Carnegie Tech position itself in the latter half of the 20th century?
188	When was the School of Urban and Public Affairs opened, and what is its current name?
189	How do the LTI's degree programs incorporate human language technologies?
190	What is the official mascot of Carnegie Mellon University?
191	Who is a "Chute Flagger"?
192	How do buggies accommodate their drivers?
193	What role did CMU play in the development of online information encryption?
194	What is the actual meaning of a Tartan?
195	Can you describe the main focus of the Ph.D. in Language and Information Technology program at LTI?
196	What do they wear under those kilts?
197	Can you provide the phone numbers for faculty with interests in Machine Learning?
198	When is the first rehearsal?
199	When are performances?
200	What are the course requirements for obtaining a Ph.D. in Language and Information Technologies at LTI?
201	How did Andrew Carnegie view his post-wealth phase of life?
202	How did Carnegie Tech's campus evolve architecturally in the early 20th century?
203	How did the creation of the first freshman-level computer programming course impact the field of computer science education?
204	Who co-chaired the Mascot Identity Task Force at Carnegie Mellon?
205	What demographic did the Carnegie Technical Schools primarily aim to serve?
206	Who received the first doctorate from Carnegie Tech?
207	What is Yonatan Bisk's research area?
208	What are common misrepresentations of a Tartan?
209	How can someone contact Daphne Ippolito?
210	What year was the Robotics Institute created at CMU?
211	Can you name a team that is known for having quiet buggies on the course?
212	What is the capacity of Wiegand Gymnasium?
213	How can MCDS students complete their degree, and what are the differences in timing?
214	What year was the first artificial intelligence program created?
215	What is the name of the soccer stadium at Carnegie Mellon University (CMU)?
216	Which faculty member's research includes Fairness and Ethics in Language Technology?
217	How does the MIIS program prepare students for their careers?
218	What are the expected career paths for graduates of the LTI Ph.D. program?
219	Can you list some fields where Carnegie Mellon alumni have excelled?
220	What are the key physical traits of the Scottish Terrier that align with Carnegie Mellon University's image?
221	What significant computing device arrived at Carnegie Tech in 1956?
222	What are the options for the timing of completing the MCDS degree?
223	How did Andrew Carnegie rise to prominence?
224	What events does The Kiltie Marching Band play at?
225	What was the percentage of women among CMU's Computer Science first-year students?
226	What is the significance of fairings in buggy construction?
227	Who is the athletic director at Carnegie Mellon University (CMU)?
228	Can you describe the types of expertise the LTI degree programs prepare students for?
229	Explain "Transition" in Sweepstakes slang.
230	What is the future impact of the Carnegie Tech and Mellon Institute merger on Carnegie Mellon University?
231	Compare the size of the Computer Science Department in 1982 to its size in 2013.
232	How does the MCDS program prepare students for their careers?
233	How did CMU's CAPTCHAs contribute to internet security?
234	How many course credits are required to graduate from the MCDS program?
235	What courses are offered in the first year of the MLT program?
236	What was CMU's role in the creation of the Pittsburgh Supercomputing Center?
237	In what ways does CMU intend to impact the world?
238	When did Carnegie Mellon officially start the process to select a mascot?
239	Why was the Scottish terrier chosen as the mascot of Carnegie Mellon University?
240	When was Carnegie Mellon University (CMU) founded?
241	What was the outcome of CMU's self-driving SUV named BOSS in 2007?
242	In which athletic conferences does Carnegie Mellon University (CMU) participate?
243	When did CMU develop the first successful web search engine?
244	What is meant by "Shell" in the context of a buggy?
245	How many graduate and doctoral students were enrolled at Carnegie Mellon University (CMU)?
246	How did the introduction of multi-core processors at CMU impact computer performance?
247	Who focuses on Embodiment in their research at the Language Technologies Institute?
248	What is the office number for Jamie Callan?
249	Was Andrew Carnegie always successful in his career?
250	How did Carnegie Tech address the practical learning aspect in its curriculum?
251	Who founded Carnegie Mellon University and what type of pet did he keep?
252	How long do students spend in Portugal as part of the Dual-Degree Ph.D. program?
253	What were C.mmp and Cm*?
254	How has SCS expanded in terms of departments and areas of study since its inception?
255	What significant change is happening at CMU in the coming years?
256	What was Andrew Carnegie's job before he became a successful entrepreneur?
257	How many students benefit from cognitive tutoring programs developed at CMU annually?
258	What are CMU's main areas of focus according to the Strategic Plan 2025?
259	Can you describe the curriculum structure for the Dual-Degree Ph.D. program in Language and Information Technologies?
260	What does the graphic of Carnegie Mellon's official mascot feature?
261	Why was the Scottish Terrier chosen as Carnegie Mellon University's mascot?
262	What are the majors offered in the MCDS program?
263	What challenges are faced by drivers due to the condition of the race course?
264	How does Duolingo, a CMU spinoff, assist in language learning?
265	What groundbreaking invention related to personal safety materials was created by a CMU alumna?
266	How long has Carnegie Mellon been established?
267	What rank did CMU's Management Information Systems program receive from U.S. News & World Report in 2022?
268	What are the application requirements for the MSAII program at Carnegie Mellon's School of Computer Science?
269	When did Carnegie Mellon University officially adopt the Scottish terrier as its mascot?
270	What is unique about the graphic mascot's appearance?
271	What are the names of the two colleges established as a result of the Carnegie Tech and Mellon Institute merger?
272	How does the combination of physical and temperament traits of the Scottish Terrier enhance its suitability as Carnegie Mellon University's mascot?
273	What is the importance of the Mellon family in the history of Carnegie Mellon University?
274	What is the rank of CMU's College of Engineering according to U.S. News & World Report in 2022?
275	How does CMU view the relationship between technology and humanity?
276	Who invented Duolingo, and what was its achievement in the year following its launch?
277	What field did the David A. Tepper School of Business focus on?
278	What significant contribution did James Gosling, a CMU alumnus, make to the field of computer programming?
279	How has Carnegie Mellon contributed to innovation since its founding?
280	When did Carnegie Technical Schools become the Carnegie Institute of Technology?
281	What is the alma mater and graduation year of Carnegie Mellon University's athletic director?
282	What is the final application deadline for Fall 2024 admission to the Dual-Degree Ph.D. program?
283	What type of surface does Gesling Stadium have?
284	When was The Kiltie Band founded?
285	Who founded the Mellon Institute, which later merged with Carnegie Tech?
286	How many alumni does Carnegie Mellon University (CMU) have?
287	How did CMU become the best-wired campus in the world?
288	What safety gear is required for all drivers?
289	What is the final deadline for fall admission to the Master of Science in Artificial Intelligence and Innovation program for 2024?
290	When did Carnegie Mellon celebrate the 50th anniversary of its founding through the merger?
291	On whose birthday did The Kiltie Band perform for the first time?
292	How many units of graduate-level courses must a student pass to obtain a Ph.D. in Language and Information Technologies at LTI?
293	What are the practical experiences required for MIIS students at LTI?
294	What was the reason for Carnegie Mellon's expansion to international educational opportunities?
295	What misconception did approximately 25 percent of surveyed alumni have about the Scottish terrier?
296	When did Andrew Carnegie emigrate from Scotland?
297	What is the alma mater of the president of Carnegie Mellon University (CMU)?
298	What types of undergraduate degrees do incoming MSAII students generally hold?
299	How do teams typically approach the construction of their buggies?
300	Where is the current Buggy Race course located?
301	Where can you find items featuring the official tartan pattern?
302	What is the email address for the faculty member with interests in Creativity and Evaluation in NLP?
303	What was the significance of the first U.S. drama degree awarded at Carnegie Tech?
304	How did Andrew Carnegie contribute to the industrial era in the United States?
305	When did CMU's Faculty Senate agree to elevate the Department of Computer Science to college status?
306	What was the significance of the Logic Theorist program developed by Simon, Newell, and Shaw?
307	How often does The Kiltie Band change its show during the football season?
308	What is the graphic of the official mascot of Carnegie Mellon University?
309	What percentage of CMU's undergraduate students are international?
310	What vision was revisited during the 50th anniversary celebration of Carnegie Mellon University?
311	When did the School of Computer Science at CMU celebrate its 25th year?
312	How does the curriculum for the Ph.D. in Language and Information Technology change over the five-year schedule?
313	How is the undergraduate research project requirement fulfilled for the Language Technologies Concentration?
314	Why are Carnegie Mellon's athletic teams nicknamed the "Tartans"?
315	How did Andrew Carnegie educate himself?
316	How did Carnegie Tech contribute to the development of research institutions?
317	What role did CMU's Computer Science Department play in the advancement of multiprocessor systems?
318	How did the university culture at Carnegie Tech change with the arrival of the first IBM computer?
319	When was the official Scotty costume unveiled?
320	How can I get kicked out from The Kiltie Band?
321	How does CMU plan to maintain its status as a world-class university?
322	What is the hallmark of Carnegie Mellon research, as established by Carnegie Tech?
323	How many units must MIIS-16 students complete, and what areas do these units cover?
324	How many countries do CMU students come from?
325	How does the LTI Dual-Degree Ph.D. program compare to traditional Ph.D. programs in terms of structure and focus?
